model,test_split,mAP50,mAP95,precision,recall
all_lighting,data_all_lighting_shadow,61.27214301742444,33.05109147967431,68.33273711597388,56.81818181818182
all_lighting,day_test,66.6377901276062,35.30204064423693,74.37752654008577,61.55717761557178
all_lighting,led_test,68.17856338525405,35.943865252014106,71.41012411936772,64.65816100807953
all_lighting,shop_test,57.46890394812111,28.167341162807435,71.2897713215896,48.98876404494382
day_led,data_day_led_shadow,70.99006122048091,41.19693000031614,73.11628105300393,68.30173945278894
day_led,day_test,72.85580589438976,41.97714038362925,74.41648074094503,66.526692109258
day_led,led_test,73.00660230111072,41.400397903048805,80.27258690921877,64.93241195462016
day_led,shop_test,28.325261824172433,9.43316976770028,42.47687909972231,31.011235955056183
day_only,data_day_only_shadow,72.461101652205,44.83674028574207,73.4363546677255,68.73798761471889
day_only,day_test,72.69481286627537,43.29181021965123,80.63975009220911,60.806231197595736
day_only,led_test,10.937031837951713,3.5206619558568506,16.313135721687388,24.46808510638298
day_only,shop_test,23.79292657164487,7.6804440106040195,33.91167019148419,29.8876404494382
day_shop,data_day_shop_shadow,67.76786460480338,37.36343378999484,69.80361293645949,63.54028702084379
day_shop,day_test,71.96510568217819,41.567268143594184,76.9962556247461,65.15084684372995
day_shop,led_test,12.347190689176657,4.019538724325216,18.136231545400374,29.078014184397162
day_shop,shop_test,61.553454303798816,32.28671996916318,65.73752607418677,57.97752808988764
led_only,data_led_only_shadow,74.17406837333087,40.63818319993409,76.41906245943346,67.93893129770993
led_only,day_test,30.23646426045371,11.287290191100304,51.84296143968877,30.413625304136254
led_only,led_test,71.77296732861068,42.63424461627906,71.39286605456424,68.43971631205675
led_only,shop_test,15.326987076259979,5.487500812535142,36.11866934929402,16.179775280898877
shop_led,data_shop_led_shadow,65.94671935592827,35.8967134707083,69.8358165223388,62.132921174652246
shop_led,day_test,44.13496144651772,17.78856743128784,50.670611194717516,44.28223844282238
shop_led,led_test,73.28865623760201,40.94665258491052,76.46192641257399,69.14893617021278
shop_led,shop_test,62.04183204438578,32.170303679654495,65.17562447914688,60.22471910112359
shop_only,data_shop_only_shadow,65.50099129911094,35.51386050186585,63.51404727030516,64.53715775749674
shop_only,day_test,37.700728608562706,14.749489120571226,39.17688430986597,44.038929440389296
shop_only,led_test,7.023894486184499,2.448729567943254,13.008154464803114,22.340425531914892
shop_only,shop_test,62.81141914119854,33.69557087295135,65.32672690225225,59.69748994791561
